status,solution_id,match_id,language,problem_id
Success,114443,2005,Java,64
Success,152073,55,Java,212
Success,114853,53,Java,202
Success,151418,50,C++,162
Success,114853,53,Java,203
Success,152347,51,C++,178
Success,152347,52,C++,189
Success,154089,52,Java,180
Success,152347,51,C++,177
Success,151144,50,C++,164
Success,105922,2009,Java,72
Success,152347,51,C++,179
Success,114443,2009,Java,71
Success,152347,50,C++,163
Success,111359,2002,Java,48
Success,22895896,15037,VB,11364
Success,8513659,15037,C#,11364
Success,22689544,15037,Java,11364
Success,19849563,15037,C++,11364
Success,152485,50,Java,163
Success,154139,51,Java,179
Success,154131,50,Java,164
Success,105922,52,Java,189
Success,109965,51,Java,177
Success,152485,51,Java,178
Success,152485,50,Java,162
Success,23195003,15844,Python,13038
Success,10574855,9917,C#,6052
Success,22664154,15844,C#,13008
Success,288305,15844,Python,13040
Success,23304845,15844,C++,13039
Success,22263204,15844,C++,13009
Success,22769059,15842,C++,12985
Success,15881985,15844,Python,12918
Success,21107258,13905,C#,10006
Success,15881985,15843,Python,13024
Success,22914235,15842,Python,13003
Success,23065745,15842,Python,13004
Success,20902654,15843,Python,12911
Success,23082290,15843,C++,12931
Success,15881985,15843,Python,13035
Success,23301265,15842,Python,12989
Success,23027795,15842,C++,12989
Success,22731949,15842,Java,12989
Success,22682274,15843,C#,13035
Success,22913403,15843,VB,13035
Success,22662575,15843,C++,13035
Success,22836020,15843,C#,12911
Success,23185010,15843,C++,12911
Success,22830500,15843,Java,13035
Success,23292462,15843,Java,12911
Success,22679911,15842,C#,13004
Success,23132101,15842,C++,13004
Success,22662189,15843,C++,12930
Success,22790336,15842,Java,13004
Success,278460,15842,C#,13003
Success,15781230,15842,VB,13003
Success,23044772,15842,C++,13003
Success,22830500,15842,Java,13003
Success,22664154,15843,C#,13024
Success,22376958,15843,C++,13024
Success,10574855,15843,Java,13024
Success,22840511,15844,C++,12918
Success,22707497,15844,Java,12918
Success,10288909,15844,C#,12918
Success,7433858,13905,C++,10006
Success,22657324,13905,Java,10006
Success,23167251,15844,Java,13039
Success,22102182,15844,C#,13040
Success,23304834,15844,C++,13040
Success,23300372,15844,Java,13040
Success,23001494,15844,C++,13008
Success,22777715,15844,Java,13008
Success,8547850,9917,C++,6052
Success,10481120,9917,Java,6052
Success,23157921,15844,C#,13038
Success,23180482,15844,C++,13038
Success,23119178,15844,Java,13038
Success,23303083,15842,Python,12995
Success,23088355,15842,C#,12995
Success,23287717,15841,Python,12998
Success,23025776,15842,Python,12994
Success,23295835,15839,C++,12394
Success,22849803,15841,Python,13001
Success,15881985,15841,Python,12997
Success,23101135,15840,Python,12990
Success,22263204,15840,C++,12968
Success,23282288,15841,Python,13002
Success,23201828,15839,Python,12975
Success,23287717,15841,Python,13000
Success,23177326,15840,C++,12969
Success,23066180,15840,C#,12967
Success,22840511,15841,C++,12999
Success,23034269,15840,C++,12964
Success,22664154,15840,C#,12964
Success,22773084,15841,C#,13000
Success,10574855,15840,Java,12964
Success,23116391,15840,C++,12967
Success,22906729,15840,Java,12967
Success,23202643,15841,C++,13000
Success,23292462,15841,Java,13000
Success,8513659,15839,C#,12975
Success,14970299,15839,Java,12975
Success,22935387,15841,C++,13002
Success,23001494,15839,C++,12975
Success,22773690,15841,Java,13002
Success,22700926,15840,C#,12990
Success,8521094,15840,VB,12990
Success,23015069,15841,Java,12999
