username,division,score,place,match_id
jonmac,1,1143.22,1,57
dmwright,1,1072.35,2,57
NGBronson,1,649.6,3,57
PabloGilberto,1,548.59,4,57
kyotov,1,1075.87,1,4016
olted,2,640.56,1,4016
dpecora,1,645.42,2,4016
BrettK,2,619.9,2,4016
qubits,1,643.14,3,4016
jay_peg,2,617.78,3,4016
doeth,1,589.84,4,4016
gaav,2,593.84,4,4016
chogyonim,1,582.86,5,4016
Koroibos,2,572.07,5,4016
NGBronson,1,1186.19,1,4011
Garzahd,2,578.11,1,4011
malpt,1,1055.5,2,4011
chogyonim,2,568.26,2,4011
dpecora,1,990.62,3,4011
obfuscator,2,547.28,3,4011
DjinnKahn,1,670.58,4,4011
unlord,2,537.7,4,4011
ZorbaTHut,1,654.3,5,4011
alan,2,520.89,5,4011
malpt,1,1423.11,1,4017
gsh,2,1354.66,1,4017
ZorbaTHut,1,1344.71,2,4017
Altrag,2,1229.51,2,4017
dmwright,1,1322.81,3,4017
ajm,2,1186.56,3,4017
zoidal,1,1214.07,4,4017
fuego,2,1036.81,4,4017
unlord,1,1208.08,5,4017
dimer0,2,1030.87,5,4017
NGBronson,1,1238.71,1,4015
patsup,2,714.46,1,4015
malpt,1,1153.22,2,4015
claw,2,703.8,2,4015
doeth,1,1119.05,3,4015
czth,2,650.03,3,4015
dmwright,1,1116.99,4,4015
avri,2,647.88,4,4015
ambrose,1,1058.14,5,4015
bfhc,2,623.42,5,4015
qubits,1,1402.75,1,4013
seacow,2,1155.43,1,4013
Logan,1,1313.55,2,4013
Hao,2,705.87,2,4013
Joe,1,1290.31,3,4013
kyky,2,648.56,3,4013
dmwright,1,1276.62,4,4013
malpt,1,1290.16,1,4018
bigg_nate,2,768.23,1,4018
NGBronson,1,1087.16,2,4018
petch,2,692.75,2,4018
Spam_vt,1,795.88,3,4018
bmerry,2,692.38,3,4018
ambrose,1,782.04,4,4018
dminn,2,640.68,4,4013
ColinMacLeod,1,1203.7,5,4013
gw,2,628.97,5,4013
mathgodleo,2,678.41,4,4018
dmwright,1,768.74,5,4018
dvickrey,2,657.21,5,4018
pl31415,1,1428.94,1,4014
petch,2,1134.05,1,4014
RachaelLCook,1,1260.32,2,4014
Pops,2,541.88,2,4014
NGBronson,1,1254.54,3,4014
Vaduz,2,485.18,3,4014
doeth,1,1240.97,4,4014
Revoklaw,2,477.49,4,4014
Spam_vt,1,1212.12,5,4014
czth,2,446.73,5,4014
dmwright,1,1251.19,1,3998
ShakeSpace,2,1112.39,1,3998
evd,1,1225.96,2,3998
jtcromwell,2,709.31,2,3998
Joe,1,1224.37,3,3998
dimer0,2,679.14,3,3998
space,1,1208.71,4,3998
gsh,2,649.98,4,3998
