match_id,rate_div2,rate_div1,writer,categary,content,href,level_div1,level_div2,date,problem_id,name
6532,78.99%,100.00%,ValD,"Simple Math, Simulation",problems/3994,http://community.topcoder.com/stat?c=problem_statement&pm=3994,1,2,03.03.2005,3994,PipeCuts
6552,,75.00%,Yarin,"Brute Force, Recursion, String Parsing",problems/3999,http://community.topcoder.com/stat?c=problem_statement&pm=3999,1,,03.10.2005,3999,VariableDeclaration
6532,,61.70%,ValD,"Dynamic Programming, Simple Math",problems/3936,http://community.topcoder.com/stat?c=problem_statement&pm=3936,3,,03.03.2005,3936,DiskCut
6551,,87.50%,dgoodman,"Dynamic Programming, Greedy",problems/3933,http://community.topcoder.com/stat?c=problem_statement&pm=3933,2,,03.10.2005,3933,Switching
6532,31.68%,,ValD,"Dynamic Programming, Graph Theory, Sorting",problems/3937,http://community.topcoder.com/stat?c=problem_statement&pm=3937,,3,03.03.2005,3937,AutoMarket
6532,94.58%,,lars2520,String Manipulation,problems/4017,http://community.topcoder.com/stat?c=problem_statement&pm=4017,,1,03.03.2005,4017,JustifyText
6532,,77.11%,ValD,Graph Theory,problems/3935,http://community.topcoder.com/stat?c=problem_statement&pm=3935,2,,03.03.2005,3935,SmartWordToy
6550,,33.33%,dgoodman,"Advanced Math, Simple Search, Iteration",problems/3499,http://community.topcoder.com/stat?c=problem_statement&pm=3499,2,,03.10.2005,3499,Symbolic
6551,,100.00%,dgoodman,"Brute Force, Graph Theory",problems/3950,http://community.topcoder.com/stat?c=problem_statement&pm=3950,1,,03.10.2005,3950,Shouting
6551,,60.00%,dgoodman,"Brute Force, Search",problems/2873,http://community.topcoder.com/stat?c=problem_statement&pm=2873,3,,03.10.2005,2873,ChartError
6550,,80.00%,dgoodman,"Advanced Math, Dynamic Programming",problems/3563,http://community.topcoder.com/stat?c=problem_statement&pm=3563,3,,03.10.2005,3563,Disaster
6552,,100.00%,Yarin,"Geometry, Math",problems/3992,http://community.topcoder.com/stat?c=problem_statement&pm=3992,2,,03.10.2005,3992,CheckerPolygon
6553,,100.00%,lars2520,"Dynamic Programming, Encryption/Compression, String Manipulation",problems/3961,http://community.topcoder.com/stat?c=problem_statement&pm=3961,1,,03.11.2005,3961,RunLengthPlus
6550,,85.71%,dgoodman,"Geometry, Math",problems/3932,http://community.topcoder.com/stat?c=problem_statement&pm=3932,1,,03.10.2005,3932,Buoyancy
6554,,,dgoodman,"Advanced Math, Search",problems/3565,http://community.topcoder.com/stat?c=problem_statement&pm=3565,3,,03.11.2005,3565,LocalMax
6552,,,Yarin,"Dynamic Programming, Geometry",problems/3471,http://community.topcoder.com/stat?c=problem_statement&pm=3471,3,,03.10.2005,3471,CableWoes
6553,,66.67%,vorthys,Greedy,problems/3957,http://community.topcoder.com/stat?c=problem_statement&pm=3957,2,,03.11.2005,3957,Indivisible
6553,,50.00%,Yarin,"Brute Force, Greedy, Search",problems/3978,http://community.topcoder.com/stat?c=problem_statement&pm=3978,3,,03.11.2005,3978,ConnectingPoints
6554,,,lars2520,"Graph Theory, Recursion, Search, Sorting",problems/4005,http://community.topcoder.com/stat?c=problem_statement&pm=4005,2,,03.11.2005,4005,BasicSorting
6554,,66.67%,vorthys,Dynamic Programming,problems/4018,http://community.topcoder.com/stat?c=problem_statement&pm=4018,1,,03.11.2005,4018,BadSubstrings
6533,,58.18%,AdminBrett,"Brute Force, Recursion",problems/3998,http://community.topcoder.com/stat?c=problem_statement&pm=3998,2,,03.16.2005,3998,WeirdRooks
6533,38.78%,,AdminBrett,String Parsing,problems/4021,http://community.topcoder.com/stat?c=problem_statement&pm=4021,,3,03.16.2005,4021,DerivationDisplay
6533,62.74%,87.72%,AdminBrett,"Simple Math, Simulation",problems/3055,http://community.topcoder.com/stat?c=problem_statement&pm=3055,1,2,03.16.2005,3055,FractionSplit
6533,,40.62%,AdminBrett,Sorting,problems/3968,http://community.topcoder.com/stat?c=problem_statement&pm=3968,3,,03.16.2005,3968,HowUnsorted
6533,83.70%,,AdminBrett,"Simple Search, Iteration",problems/3995,http://community.topcoder.com/stat?c=problem_statement&pm=3995,,1,03.16.2005,3995,ComboLength
6534,5.83%,37.62%,the_one_smiley,"Simple Math, Simple Search, Iteration",problems/4427,http://community.topcoder.com/stat?c=problem_statement&pm=4427,1,2,03.22.2005,4427,StepperMotor
6534,,29.17%,the_one_smiley,"Geometry, Math, Search",problems/4022,http://community.topcoder.com/stat?c=problem_statement&pm=4022,3,,03.22.2005,4022,RemoteRover
6534,,56.56%,the_one_smiley,"Geometry, Math",problems/4436,http://community.topcoder.com/stat?c=problem_statement&pm=4436,2,,03.22.2005,4436,PerforatedSheet
6534,68.08%,,the_one_smiley,Simple Math,problems/4019,http://community.topcoder.com/stat?c=problem_statement&pm=4019,,1,03.22.2005,4019,NoisySensor
6534,17.39%,,the_one_smiley,"Graph Theory, Sorting, String Parsing",problems/4020,http://community.topcoder.com/stat?c=problem_statement&pm=4020,,3,03.22.2005,4020,AcademicJournal
6535,,33.33%,Jan_Kuipers,Graph Theory,problems/3530,http://community.topcoder.com/stat?c=problem_statement&pm=3530,3,,04.02.2005,3530,Parking
6535,91.80%,,dimkadimon,"Simple Math, String Parsing",problems/4448,http://community.topcoder.com/stat?c=problem_statement&pm=4448,,1,04.02.2005,4448,MassiveNumbers
6535,,60.82%,dimkadimon,"Advanced Math, Search",problems/4459,http://community.topcoder.com/stat?c=problem_statement&pm=4459,2,,04.02.2005,4459,HammingNumbers
6535,65.12%,,dimkadimon,"Simple Math, String Parsing",problems/4460,http://community.topcoder.com/stat?c=problem_statement&pm=4460,,3,04.02.2005,4460,ComputerExpert
6535,79.78%,95.36%,dimkadimon,"String Manipulation, String Parsing",problems/1585,http://community.topcoder.com/stat?c=problem_statement&pm=1585,1,2,04.02.2005,1585,BusinessTasks
6536,,78.57%,legakis,"Geometry, Search",problems/4461,http://community.topcoder.com/stat?c=problem_statement&pm=4461,3,,04.06.2005,4461,MirrorPlacement
6536,54.84%,,legakis,"Geometry, Simple Math, Simple Search, Iteration",problems/4462,http://community.topcoder.com/stat?c=problem_statement&pm=4462,,3,04.06.2005,4462,MirrorPath
6536,78.76%,,lars2520,String Manipulation,problems/4484,http://community.topcoder.com/stat?c=problem_statement&pm=4484,,1,04.06.2005,4484,Cards
6536,,91.55%,legakis,"Dynamic Programming, Simple Math",problems/3944,http://community.topcoder.com/stat?c=problem_statement&pm=3944,2,,04.06.2005,3944,CakeDivision
6536,52.73%,90.85%,legakis,"Geometry, Simple Math",problems/4463,http://community.topcoder.com/stat?c=problem_statement&pm=4463,1,2,04.06.2005,4463,BoxUnion
6537,,56.25%,AdminBrett,"Math, String Manipulation",problems/3050,http://community.topcoder.com/stat?c=problem_statement&pm=3050,3,,04.14.2005,3050,SquareLanguage
