match_id,rate_div2,rate_div1,writer,categary,content,href,level_div1,level_div2,date,problem_id,name
2005,,50.00%,,"Simple Search, Iteration",problems/64,http://community.topcoder.com/stat?c=problem_statement&pm=64,1,,06.05.2001,64,Series
2001,,50.00%,,String Manipulation,problems/40,http://community.topcoder.com/stat?c=problem_statement&pm=40,1,,04.21.2001,40,StringDup
2001,,45.68%,,String Manipulation,problems/41,http://community.topcoder.com/stat?c=problem_statement&pm=41,2,,04.21.2001,41,Syntax
2001,,63.46%,,Dynamic Programming,problems/42,http://community.topcoder.com/stat?c=problem_statement&pm=42,3,,04.21.2001,42,Football
2002,,60.38%,,String Manipulation,problems/47,http://community.topcoder.com/stat?c=problem_statement&pm=47,2,,04.28.2001,47,WordFilter
2005,,33.33%,,"Dynamic Programming, Graph Theory",problems/66,http://community.topcoder.com/stat?c=problem_statement&pm=66,3,,06.05.2001,66,Nails
2002,,59.62%,,Math,problems/46,http://community.topcoder.com/stat?c=problem_statement&pm=46,1,,04.28.2001,46,Weekday
2007,,50.00%,,Dynamic Programming,problems/68,http://community.topcoder.com/stat?c=problem_statement&pm=68,2,,06.06.2001,68,TriTravel
2005,,75.00%,,Brute Force,problems/65,http://community.topcoder.com/stat?c=problem_statement&pm=65,2,,06.05.2001,65,IntSplit
2007,,75.00%,,Simple Math,problems/73,http://community.topcoder.com/stat?c=problem_statement&pm=73,1,,06.06.2001,73,Race
2009,,50.00%,,Encryption/Compression,problems/67,http://community.topcoder.com/stat?c=problem_statement&pm=67,1,,06.07.2001,67,Vigenere
2007,,0.00%,,Graph Theory,problems/69,http://community.topcoder.com/stat?c=problem_statement&pm=69,3,,06.06.2001,69,Connected
2002,,41.67%,,String Manipulation,problems/48,http://community.topcoder.com/stat?c=problem_statement&pm=48,3,,04.28.2001,48,Matrix
50,,89.23%,,"Brute Force, Math",problems/163,http://community.topcoder.com/stat?c=problem_statement&pm=163,2,,09.25.2001,163,SquareDigits
2009,,50.00%,,Geometry,problems/71,http://community.topcoder.com/stat?c=problem_statement&pm=71,3,,06.07.2001,71,Area
51,,80.00%,,"Graph Theory, String Manipulation",problems/179,http://community.topcoder.com/stat?c=problem_statement&pm=179,3,,10.03.2001,179,FSM
2009,,50.00%,,Dynamic Programming,problems/72,http://community.topcoder.com/stat?c=problem_statement&pm=72,2,,06.07.2001,72,Camper
50,,82.46%,lars2520,"Graph Theory, String Parsing",problems/164,http://community.topcoder.com/stat?c=problem_statement&pm=164,3,,09.25.2001,164,Prerequisites
51,,81.36%,,String Parsing,problems/177,http://community.topcoder.com/stat?c=problem_statement&pm=177,1,,10.03.2001,177,TCMLParser
52,,22.22%,,Geometry,problems/180,http://community.topcoder.com/stat?c=problem_statement&pm=180,3,,10.10.2001,180,Parachuter
52,,62.50%,,Math,problems/189,http://community.topcoder.com/stat?c=problem_statement&pm=189,1,,10.10.2001,189,Clock
51,,57.89%,,"Math, String Parsing",problems/178,http://community.topcoder.com/stat?c=problem_statement&pm=178,2,,10.03.2001,178,EndOfContest
53,,50.00%,,"Brute Force, Search",problems/203,http://community.topcoder.com/stat?c=problem_statement&pm=203,2,,11.02.2001,203,Tothello
50,,43.48%,,String Parsing,problems/162,http://community.topcoder.com/stat?c=problem_statement&pm=162,1,,09.25.2001,162,HowEasy
53,,75.00%,,"Brute Force, Search",problems/202,http://community.topcoder.com/stat?c=problem_statement&pm=202,3,,11.02.2001,202,ChessCover
55,,100.00%,,"Math, String Parsing",problems/212,http://community.topcoder.com/stat?c=problem_statement&pm=212,3,,11.02.2001,212,LongCalc
52,,80.65%,,"Simple Math, Simulation",problems/182,http://community.topcoder.com/stat?c=problem_statement&pm=182,2,,10.10.2001,182,BitChecker
57,,100.00%,,Simulation,problems/208,http://community.topcoder.com/stat?c=problem_statement&pm=208,2,,11.03.2001,208,NTicTacToe
60,,47.13%,chogyonim,"String Manipulation, String Parsing",problems/358,http://community.topcoder.com/stat?c=problem_statement&pm=358,2,,02.19.2002,358,Checker
60,,95.32%,chogyonim,"Brute Force, Simple Search, Iteration",problems/407,http://community.topcoder.com/stat?c=problem_statement&pm=407,1,,02.19.2002,407,Chooser
60,,60.00%,chogyonim,"Dynamic Programming, Graph Theory",problems/389,http://community.topcoder.com/stat?c=problem_statement&pm=389,3,,02.19.2002,389,Solver
55,,66.67%,,String Parsing,problems/205,http://community.topcoder.com/stat?c=problem_statement&pm=205,2,,11.02.2001,205,ArgParser
61,,82.10%,wyzmo,"String Manipulation, String Parsing",problems/443,http://community.topcoder.com/stat?c=problem_statement&pm=443,1,,02.21.2002,443,LetterRange
55,,75.00%,,Simulation,problems/204,http://community.topcoder.com/stat?c=problem_statement&pm=204,1,,11.02.2001,204,Checkers
62,,15.38%,jay_peg,"Simple Math, Simple Search, Iteration, Sorting",problems/330,http://community.topcoder.com/stat?c=problem_statement&pm=330,2,,03.06.2002,330,Birds
53,,50.00%,,"Simple Search, Iteration, String Parsing",problems/210,http://community.topcoder.com/stat?c=problem_statement&pm=210,1,,11.02.2001,210,MatchMaker
61,,31.58%,wyzmo,"Math, String Parsing",problems/444,http://community.topcoder.com/stat?c=problem_statement&pm=444,2,,02.21.2002,444,Intervals
62,,76.47%,jay_peg,"Advanced Math, Brute Force, String Parsing",problems/352,http://community.topcoder.com/stat?c=problem_statement&pm=352,3,,03.06.2002,352,RuleEngine
62,,87.50%,jay_peg,"Math, Simple Search, Iteration",problems/355,http://community.topcoder.com/stat?c=problem_statement&pm=355,1,,03.06.2002,355,DiceChecker
57,,75.00%,,"Sorting, String Parsing",problems/207,http://community.topcoder.com/stat?c=problem_statement&pm=207,1,,11.03.2001,207,UserListSorter
57,,66.67%,,"Dynamic Programming, Graph Theory, Math",problems/209,http://community.topcoder.com/stat?c=problem_statement&pm=209,3,,11.03.2001,209,Networking
61,,63.49%,wyzmo,Advanced Math,problems/445,http://community.topcoder.com/stat?c=problem_statement&pm=445,3,,02.21.2002,445,AlephNull
