date,href,name
2002.03.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4080,SRM 70
2002.03.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=62,TCCC '02 Reg. Semifinal
2002.02.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4075,SRM 69
2002.02.27,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4070,SRM 68
2002.02.21,http://community.topcoder.com//stat?c=round_overview&er=5&rd=61,TCCC '02 W/MW Reg. Quart.
2002.02.20,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4065,SRM 67
2002.02.19,http://community.topcoder.com//stat?c=round_overview&er=5&rd=60,TCCC '02 NE/SE Reg. Quart.
2002.02.13,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4060,SRM 66
2002.02.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4055,SRM 65
2002.02.06,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4050,SRM 64
2002.02.04,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4045,SRM 63
2002.01.31,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4033,SRM 62
2002.01.30,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4032,SRM 61
2002.01.26,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4031,SRM 60
2002.01.23,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4030,SRM 59
2002.01.16,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4029,SRM 58
2002.01.15,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4028,SRM 57
2002.01.09,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4027,SRM 56
2002.01.07,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4026,SRM 55
2002.01.03,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4025,SRM 54
2001.12.27,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4024,SRM 53
2001.12.19,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4023,SRM 52
2001.12.17,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4022,SRM 51
2001.12.13,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4021,SRM 50
2001.12.12,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4020,SRM 49
2001.12.09,http://community.topcoder.com//stat?c=round_overview&er=5&rd=3998,SRM 48
2001.12.04,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4018,SRM 47
2001.11.29,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4017,SRM 46
2001.11.28,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4016,SRM 45
2001.11.20,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4015,SRM 44
2001.11.14,http://community.topcoder.com//stat?c=round_overview&er=5&rd=4014,SRM 43
