status,solution_id,match_id,language,problem_id
Success,20175515,10062,C#,5991
Success,22507223,10059,C#,5995
Success,15781442,10022,C#,6441
Success,22507223,10061,C#,6197
Success,21932422,10059,C#,5997
Success,22629335,10061,C#,6599
Success,19931322,10060,C++,6066
Success,22507223,10060,C#,6572
Success,20175515,10060,C#,6259
Success,20175515,10059,C#,6002
Success,22628189,10058,C#,6490
Success,22628189,10058,C#,6492
Success,22507223,10058,C#,6495
Success,21111148,10057,C++,6571
Success,22507223,10023,C#,6421
Success,22769050,14247,Java,10833
Success,22005262,10057,C#,6568
Success,22375930,10057,C++,6568
Success,22663117,14247,C++,10833
Success,15604398,10023,C++,6421
Success,22268848,10057,Java,6568
Success,11941613,10058,C++,6495
Success,22435820,10023,Java,6421
Success,11972352,10058,C++,6492
Success,14951968,10057,Java,6571
Success,11972352,10059,C++,6002
Success,22268848,10058,Java,6495
Success,20246344,10060,Java,6572
Success,22268848,10060,Java,6259
Success,22375930,10060,C++,6572
Success,21468741,10058,C++,6490
Success,22627711,10059,Java,6002
Success,22378820,10060,C++,6259
Success,21468741,10061,C++,6599
Success,20246344,10060,Java,6066
Success,15685244,10059,Java,5997
Success,14848761,10061,Java,6599
Success,11972352,10061,C++,6197
Success,10039742,10061,Java,6197
Success,11972352,10059,C++,5997
Success,11972352,10059,C++,5995
Success,21468741,10062,C++,5991
Success,22000369,10062,Java,5991
Success,11972352,10022,C++,6441
Success,22260979,10022,Java,6441
Success,22627711,10059,Java,5995
Success,22769023,14224,C#,10816
Success,22263204,14247,C++,10834
Success,22717415,14224,Java,10816
Success,22761926,14247,C#,10832
Success,22263204,14224,C++,10816
Success,22263204,14229,C++,10799
Success,22263204,14247,C++,10832
Success,22263204,14229,C++,10478
Success,22726964,14225,C#,10790
Success,22726964,14229,C#,10584
Success,22269671,13747,C#,10380
Success,22770456,14224,C#,10817
Success,22834681,14224,C#,10818
Success,22653299,14224,C++,10818
Success,22700400,13747,C++,10380
Failed!1,22763203,13747,Java,10380
Success,22263204,14225,C++,10796
Success,22663117,14225,C++,10790
Success,22263204,13731,C++,10282
Success,22769050,14225,Java,10796
Success,22709869,14224,Java,10818
Success,22717415,14225,Java,10790
Success,22769050,14224,Java,10817
Success,22263204,14229,C++,10584
Success,22769050,14247,Java,10832
Success,22263204,14224,C++,10817
Success,22769050,14229,Java,10584
Success,22766921,13730,C++,10285
Success,22664055,13731,C++,10280
Success,22755391,13730,VB,10284
Success,22712322,13731,C++,10279
Success,22755391,13729,VB,9926
Success,22662575,13730,C++,10286
Success,22707311,13729,C++,10255
Success,22716859,13728,VB,10004
Success,22755391,13729,VB,9928
Success,22716859,13728,VB,10254
Success,22754155,13533,Java,10199
Success,22755391,13728,VB,9929
Success,11972352,13533,C++,10199
Success,11972352,13533,C++,10197
Success,22753834,13532,Java,10207
Success,22691397,13532,C++,10205
Success,22716859,13533,VB,10198
Success,22655751,13532,C++,10207
Success,22705340,13533,C#,10198
Success,22749217,13532,Java,10205
Success,11972352,13533,C++,10198
Success,22757310,13533,Java,10198
Success,22726964,13728,C#,10254
Success,22757310,13533,Java,10197
Success,22680804,13728,C++,10254
Success,22726964,13728,C#,10004
Success,22717415,13728,Java,10254
Success,22664055,13728,C++,10004
Success,22717415,13728,Java,10004
Success,22768299,13729,Java,10255
Success,22769119,13730,Java,10286
Success,22717415,13729,Java,9928
Success,22675094,13729,C++,9928
Success,22696982,13728,C++,9929
Success,22726964,13728,C#,9929
Success,22726964,13729,C#,9926
Success,22717415,13731,Java,10279
Success,15685244,13729,C++,9926
Success,22717415,13729,Java,9926
Success,22690813,13729,C#,9928
Success,22726964,13730,C#,10284
Success,22717415,13728,Java,9929
Success,22769119,13730,Java,10284
Success,22766921,13730,C++,10284
Success,22769119,13731,Java,10280
Success,22694215,13730,Java,10285
Success,22744264,13531,C++,8002
Success,21761885,13532,C++,10206
Success,11972352,13531,C++,7731
Success,21761885,13531,C++,7591
Success,22709180,13528,C++,9868
Success,22745589,13528,VB,10111
Success,22664055,13526,C++,10064
Success,22692508,13530,C++,10173
Success,11972352,13525,C++,9985
Success,11972352,13525,C++,10010
Success,22699336,13523,C++,9750
Success,22716859,13525,VB,10010
Success,22692508,13524,C++,9957
Success,22717415,13524,Java,9957
Success,22263204,13529,C++,9858
Success,22681523,13525,Java,10010
Success,22681523,13523,Java,9750
Success,21722378,13528,C++,10111
Success,22705759,13526,Java,10064
